Trade Date,No. of warrants Bought *,Average price *,No. of Warrants Sold *,Average price *2,O/S *,O/S * (%),Total Issue Size *,Delta (%),IV. (%),Trading Currency,Day High,Day Low,Closing Price,Volume ('000),Turn- over ('000),Issuer,UL,Call/ Put,Warrant Type,Listing Date,Last Trading Date,Maturity Date,Strike Currency,Strike,Ent. Ratio^,Delisting Date **
1/11/2021,"31,420,000",0.24019,"-33,410,000",-0.238699,"1,990,000",2.49,"80,000,000",-0.3,36.554,HKD,0.255,0.231,0.248,"64,830","15,522",HS,700,Put,Standard,1/11/2021,4/4/2022,11/4/2022,HKD,413.65,97.087,12/4/2022
2/11/2021,"11,670,000",0.241163,"-9,830,000",-0.241187,"150,000",0.19,"80,000,000",-0.318,37.123,HKD,0.275,0.224,0.27,"21,600","5,211",HS,700,Put,Standard,1/11/2021,4/4/2022,11/4/2022,HKD,413.65,97.087,12/4/2022
3/11/2021,"750,000",0.261267,"-700,000",-0.255714,"100,000",0.13,"80,000,000",-0.301,36.433,HKD,0.27,0.243,0.246,"1,450",375,HS,700,Put,Standard,1/11/2021,4/4/2022,11/4/2022,HKD,413.65,97.087,12/4/2022
4/11/2021,"18,580,000",0.22263,"-21,210,000",-0.221819,"2,730,000",3.41,"80,000,000",-0.268,37.16,HKD,0.231,0.213,0.219,"39,790","8,841",HS,700,Put,Standard,1/11/2021,4/4/2022,11/4/2022,HKD,413.65,97.087,12/4/2022
5/11/2021,"18,300,000",0.240918,"-16,960,000",-0.240774,"1,390,000",1.74,"80,000,000",-0.305,36.301,HKD,0.25,0.229,0.247,"35,330","8,510",HS,700,Put,Standard,1/11/2021,4/4/2022,11/4/2022,HKD,413.65,97.087,12/4/2022
8/11/2021,"1,680,000",0.270714,"-2,000,000",-0.263375,"1,710,000",2.14,"80,000,000",-0.317,36.819,HKD,0.275,0.26,0.26,"3,680",982,HS,700,Put,Standard,1/11/2021,4/4/2022,11/4/2022,HKD,413.65,97.087,12/4/2022
9/11/2021,"940,000",0.254596,"-130,000",-0.246692,"900,000",1.13,"80,000,000",-0.315,36.53,HKD,0.27,0.246,0.255,"1,170",298,HS,700,Put,Standard,1/11/2021,4/4/2022,11/4/2022,HKD,413.65,97.087,12/4/2022
10/11/2021,"18,770,000",0.218312,"-21,050,000",-0.217063,"3,180,000",3.98,"80,000,000",-0.252,35.535,HKD,0.227,0.188,0.188,"39,870","8,677",HS,700,Put,Standard,1/11/2021,4/4/2022,11/4/2022,HKD,413.65,97.087,12/4/2022
11/11/2021,"150,000",0.2288,0,0,"3,030,000",3.79,"80,000,000",-0.272,36.374,HKD,0.23,0.221,0.211,250,57,HS,700,Put,Standard,1/11/2021,4/4/2022,11/4/2022,HKD,413.65,97.087,12/4/2022
12/11/2021,"52,960,000",0.183546,"-52,570,000",-0.182918,"2,640,000",3.3,"80,000,000",-0.248,35.986,HKD,0.196,0.173,0.186,"105,920","19,409",HS,700,Put,Standard,1/11/2021,4/4/2022,11/4/2022,HKD,413.65,97.087,12/4/2022
15/11/2021,"23,820,000",0.166751,"-26,210,000",-0.167118,"5,030,000",6.29,"80,000,000",-0.229,36.224,HKD,0.174,0.163,0.169,"50,740","8,472",HS,700,Put,Standard,1/11/2021,4/4/2022,11/4/2022,HKD,413.65,97.087,12/4/2022
16/11/2021,"13,270,000",0.148724,"-13,910,000",-0.14729,"5,670,000",7.09,"80,000,000",-0.202,36.465,HKD,0.158,0.131,0.147,"29,870","4,414",HS,700,Put,Standard,1/11/2021,4/4/2022,11/4/2022,HKD,413.65,97.087,12/4/2022
17/11/2021,"850,000",0.133647,"-2,680,000",-0.134261,"7,500,000",9.38,"80,000,000",-0.184,35.963,HKD,0.14,0.129,0.129,"4,680",626,HS,700,Put,Standard,1/11/2021,4/4/2022,11/4/2022,HKD,413.65,97.087,12/4/2022
18/11/2021,"1,560,000",0.149897,0,0,"5,940,000",7.43,"80,000,000",-0.215,36.385,HKD,0.156,0.134,0.156,"1,930",290,HS,700,Put,Standard,1/11/2021,4/4/2022,11/4/2022,HKD,413.65,97.087,12/4/2022
19/11/2021,"1,010,000",0.161604,"-900,000",-0.158,"5,830,000",7.29,"80,000,000",-0.216,36.338,HKD,0.164,0.157,0.156,"2,280",365,HS,700,Put,Standard,1/11/2021,4/4/2022,11/4/2022,HKD,413.65,97.087,12/4/2022
22/11/2021,"12,590,000",0.153046,"-10,690,000",-0.152278,"3,930,000",4.91,"80,000,000",-0.22,36.671,HKD,0.163,0.146,0.159,"24,310","3,715",HS,700,Put,Standard,1/11/2021,4/4/2022,11/4/2022,HKD,413.65,97.087,12/4/2022
23/11/2021,"9,280,000",0.190264,"-9,820,000",-0.190574,"4,470,000",5.59,"80,000,000",-0.256,36.547,HKD,0.196,0.183,0.188,"19,530","3,718",HS,700,Put,Standard,1/11/2021,4/4/2022,11/4/2022,HKD,413.65,97.087,12/4/2022
24/11/2021,"5,540,000",0.196486,"-4,330,000",-0.196418,"3,260,000",4.08,"80,000,000",-0.283,36.553,HKD,0.206,0.187,0.211,"10,250","2,013",HS,700,Put,Standard,1/11/2021,4/4/2022,11/4/2022,HKD,413.65,97.087,12/4/2022
25/11/2021,"15,810,000",0.19108,"-16,820,000",-0.191643,"4,270,000",5.34,"80,000,000",-0.265,36.494,HKD,0.208,0.183,0.194,"32,850","6,287",HS,700,Put,Standard,1/11/2021,4/4/2022,11/4/2022,HKD,413.65,97.087,12/4/2022
26/11/2021,"21,540,000",0.227777,"-21,710,000",-0.22647,"4,440,000",5.55,"80,000,000",-0.313,37.001,HKD,0.244,0.214,0.239,"43,640","9,913",HS,700,Put,Standard,1/11/2021,4/4/2022,11/4/2022,HKD,413.65,97.087,12/4/2022
29/11/2021,"17,370,000",0.233003,"-17,980,000",-0.2311,"5,050,000",6.31,"80,000,000",-0.315,37.083,HKD,0.241,0.222,0.239,"35,470","8,230",HS,700,Put,Standard,1/11/2021,4/4/2022,11/4/2022,HKD,413.65,97.087,12/4/2022
30/11/2021,"5,520,000",0.266458,"-3,220,000",-0.277127,"2,750,000",3.44,"80,000,000",-0.327,37.88,HKD,0.29,0.255,0.255,"9,000","2,431",HS,700,Put,Standard,1/11/2021,4/4/2022,11/4/2022,HKD,413.65,97.087,12/4/2022
1/12/2021,"50,000",0.218,"-500,000",-0.217,"3,200,000",4,"80,000,000",-0.293,37.221,HKD,0.218,0.217,0.218,550,119,HS,700,Put,Standard,1/11/2021,4/4/2022,11/4/2022,HKD,413.65,97.087,12/4/2022
2/12/2021,"6,480,000",0.218758,"-6,010,000",-0.219987,"2,730,000",3.41,"80,000,000",-0.281,38.403,HKD,0.225,0.213,0.214,"12,490","2,740",HS,700,Put,Standard,1/11/2021,4/4/2022,11/4/2022,HKD,413.65,97.087,12/4/2022
3/12/2021,"17,610,000",0.243758,"-19,150,000",-0.24405,"4,270,000",5.34,"80,000,000",-0.315,38.056,HKD,0.25,0.237,0.242,"36,930","9,007",HS,700,Put,Standard,1/11/2021,4/4/2022,11/4/2022,HKD,413.65,97.087,12/4/2022
